TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,玩家旋转W
2025-06-04_20:48:41.8746,天花板,1.2176,3.0000,0.1671,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2343,1.5317,0.0070,0.1560,0.6676,0.1066,-0.7202
2025-06-04_20:48:41.8844,天花板,1.2200,3.0000,0.1727,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2341,1.5317,0.0074,0.1556,0.6670,0.1072,-0.7207
2025-06-04_20:48:41.8958,天花板,1.2197,3.0000,0.1794,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2340,1.5317,0.0077,0.1552,0.6663,0.1075,-0.7213
2025-06-04_20:48:41.9069,天花板,1.2163,3.0000,0.1842,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5904,0.6723,4.2338,1.5317,0.0080,0.1549,0.6658,0.1076,-0.7219
2025-06-04_20:48:41.9177,天花板,1.2226,3.0000,0.1865,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.7903,4.2335,1.5317,0.0082,0.1549,0.6654,0.1080,-0.7222
2025-06-04_20:48:41.9292,天花板,1.2218,3.0000,0.1914,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.7903,4.2333,1.5318,0.0084,0.1546,0.6650,0.1082,-0.7226
2025-06-04_20:48:41.9404,天花板,1.2381,3.0000,0.1922,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.7903,4.2330,1.5319,0.0086,0.1548,0.6648,0.1091,-0.7227
2025-06-04_20:48:41.9568,天花板,1.2511,3.0000,0.1954,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.7903,4.2329,1.5321,0.0089,0.1549,0.6644,0.1100,-0.7229
2025-06-04_20:48:41.9623,天花板,1.2709,3.0000,0.1984,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8926,0.9141,4.2329,1.5324,0.0091,0.1550,0.6640,0.1112,-0.7230
2025-06-04_20:48:41.9739,天花板,1.2908,3.0000,0.2013,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8926,0.9141,4.2329,1.5327,0.0094,0.1553,0.6635,0.1126,-0.7232
2025-06-04_20:48:41.9850,天花板,1.3334,3.0000,0.2020,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9313,0.9450,4.2328,1.5330,0.0096,0.1567,0.6629,0.1149,-0.7231
2025-06-04_20:48:41.9956,天花板,1.3769,3.0000,0.1912,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9719,0.9775,4.2328,1.5334,0.0099,0.1581,0.6618,0.1173,-0.7234
2025-06-04_20:48:42.0067,天花板,1.4244,3.0000,0.1919,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9719,0.9775,4.2328,1.5338,0.0102,0.1599,0.6610,0.1199,-0.7233
2025-06-04_20:48:42.0178,天花板,1.4791,3.0000,0.1735,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9719,0.9775,4.2327,1.5343,0.0104,0.1626,0.6599,0.1226,-0.7233
2025-06-04_20:48:42.0291,天花板,1.5257,3.0000,0.1246,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9856,0.9885,4.2328,1.5347,0.0106,0.1648,0.6589,0.1252,-0.7232
2025-06-04_20:48:42.0407,天花板,1.5668,3.0000,0.1269,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9856,0.9885,4.2328,1.5351,0.0108,0.1667,0.6580,0.1274,-0.7232
2025-06-04_20:48:42.0515,天花板,1.6104,3.0000,0.1075,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9856,0.9885,4.2331,1.5356,0.0110,0.1686,0.6571,0.1295,-0.7232
2025-06-04_20:48:42.0620,天花板,1.6595,3.0000,0.1076,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9908,0.9926,4.2333,1.5361,0.0113,0.1709,0.6559,0.1320,-0.7233
2025-06-04_20:48:42.0736,天花板,1.7162,3.0000,0.1078,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9953,0.9962,4.2336,1.5366,0.0115,0.1735,0.6543,0.1346,-0.7237
2025-06-04_20:48:42.0847,天花板,1.7558,3.0000,0.1129,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9953,0.9962,4.2339,1.5370,0.0118,0.1759,0.6528,0.1366,-0.7240
2025-06-04_20:48:42.0960,天花板,1.8028,3.0000,0.1150,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9953,0.9962,4.2343,1.5374,0.0120,0.1789,0.6512,0.1386,-0.7244
2025-06-04_20:48:42.1100,天花板,1.8376,3.0000,0.1145,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9962,0.9970,4.2348,1.5379,0.0122,0.1811,0.6501,0.1399,-0.7245
2025-06-04_20:48:42.1185,天花板,1.8846,3.0000,0.1003,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9962,0.9970,4.2351,1.5382,0.0122,0.1838,0.6497,0.1422,-0.7238
2025-06-04_20:48:42.1291,天花板,1.9198,3.0000,0.0992,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9962,0.9970,4.2356,1.5387,0.0123,0.1858,0.6492,0.1446,-0.7233
2025-06-04_20:48:42.1404,天花板,1.9654,3.0000,0.0901,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9981,0.9985,4.2358,1.5392,0.0123,0.1878,0.6490,0.1475,-0.7224
2025-06-04_20:48:42.1519,天花板,2.0020,3.0000,0.0892,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9981,0.9985,4.2363,1.5397,0.0124,0.1893,0.6482,0.1503,-0.7221
2025-06-04_20:48:42.1619,天花板,2.0340,3.0000,0.0900,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9981,0.9985,4.2368,1.5401,0.0125,0.1909,0.6475,0.1528,-0.7218
2025-06-04_20:48:42.1735,天花板,2.0721,3.0000,0.0849,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9992,0.9994,4.2373,1.5405,0.0126,0.1926,0.6468,0.1554,-0.7214
2025-06-04_20:48:42.1841,天花板,2.1103,3.0000,0.0766,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9997,0.9997,4.2375,1.5409,0.0127,0.1941,0.6466,0.1578,-0.7207
2025-06-04_20:48:42.1949,天花板,2.1374,3.0000,0.0718,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9997,0.9997,4.2379,1.5412,0.0127,0.1951,0.6462,0.1598,-0.7203
2025-06-04_20:48:42.2070,天花板,2.1641,3.0000,0.0709,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9997,0.9997,4.2382,1.5415,0.0127,0.1963,0.6460,0.1624,-0.7196
