TimeStamp,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,碰撞点X,碰撞点Y,碰撞点Z,碰撞物体名称,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度
2025-06-07_19:57:48.6024,32.8904,1.1444,0.0067,1.6839,269.3974,3.7195,23.0000,0.2349,-0.3154,墙体,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000
2025-06-07_19:57:48.6126,32.8904,1.1439,0.0066,2.0498,269.2936,3.7208,23.0000,0.1721,-0.3354,墙体,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000
2025-06-07_19:57:48.6242,32.8904,1.1434,0.0064,2.4364,269.2083,3.7247,23.0000,0.1048,-0.3503,墙体,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000
2025-06-07_19:57:48.6353,32.8903,1.1430,0.0062,2.8117,269.1129,3.7739,23.6364,0.0000,-0.3470,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.4880,0.5904
2025-06-07_19:57:48.6464,32.8903,1.1424,0.0061,3.2581,268.9457,3.7912,24.2489,0.0000,-0.3490,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.4880,0.5904
2025-06-07_19:57:48.6575,32.8902,1.1418,0.0059,3.6283,268.8411,3.8143,24.7009,0.0000,-0.3456,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.4880,0.5904
2025-06-07_19:57:48.6686,32.8901,1.1412,0.0057,3.9367,268.7030,3.8088,25.0310,0.0000,-0.3500,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5904,0.6723
2025-06-07_19:57:48.6793,32.8900,1.1409,0.0055,4.1336,268.6130,3.8102,25.2316,0.0000,-0.3457,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8322,0.8658
2025-06-07_19:57:48.6909,32.8898,1.1406,0.0053,4.2688,268.5258,3.8085,25.3518,0.0000,-0.3191,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9141,0.9313
2025-06-07_19:57:48.7020,32.8897,1.1404,0.0051,4.4130,268.4559,3.8053,25.4918,0.0000,-0.3224,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9141,0.9313
2025-06-07_19:57:48.7128,32.8896,1.1402,0.0050,4.5075,268.4101,3.8032,25.5331,0.0000,-0.1427,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9141,0.9313
2025-06-07_19:57:48.7242,32.8894,1.1400,0.0050,4.6760,268.3538,3.8363,25.6870,0.0000,-0.1464,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9450,0.9560
2025-06-07_19:57:48.7358,32.8892,1.1397,0.0048,4.8486,268.2624,3.8335,25.8396,0.0000,-0.1546,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9450,0.9560
2025-06-07_19:57:48.7468,32.8892,1.1392,0.0047,5.1090,268.2040,3.7876,26.0585,0.0000,-0.1570,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9450,0.9560
2025-06-07_19:57:48.7570,32.8892,1.1386,0.0045,5.4878,268.1374,3.6934,26.4636,0.0000,-0.1914,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9450,0.9560
2025-06-07_19:57:48.7686,32.8892,1.1382,0.0045,5.6591,268.1071,3.5989,26.6233,0.0000,-0.1926,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9450,0.9560
2025-06-07_19:57:48.7797,32.8891,1.1379,0.0044,5.7984,268.0806,3.5425,26.7181,0.0000,-0.1929,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9450,0.9560
2025-06-07_19:57:48.7909,32.8889,1.1378,0.0044,5.8762,268.0760,3.5032,26.7872,0.0000,-0.1926,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9450,0.9560
2025-06-07_19:57:48.8017,32.8886,1.1377,0.0044,5.9310,268.0930,3.4648,26.8549,0.0000,-0.1852,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9926,0.9941
2025-06-07_19:57:48.8135,32.8884,1.1375,0.0044,6.0355,268.1159,3.4251,26.9208,0.0000,-0.1810,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9926,0.9941
2025-06-07_19:57:48.8241,32.8882,1.1373,0.0044,6.1602,268.1282,3.3842,27.0252,0.0000,-0.1681,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9970,0.9976
2025-06-07_19:57:48.8346,32.8881,1.1371,0.0043,6.2458,268.1529,3.3839,27.1010,0.0000,-0.1497,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9970,0.9976
2025-06-07_19:57:48.8459,32.8880,1.1369,0.0044,6.3170,268.1780,3.3857,27.1428,0.0000,-0.1460,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9970,0.9976
2025-06-07_19:57:48.8569,32.8879,1.1368,0.0044,6.3588,268.2069,3.4124,27.1897,0.0000,-0.1294,Plane,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9970,0.9976
