TimeStamp,PlayerID,PosX,PosY,PosZ
2025-05-29_11:11:51.8585,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.3223,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.3798,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.3798,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.3813,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.3813,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.3813,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.3813,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.3941,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.4037,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.4130,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.4232,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.4349,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.4462,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.4570,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.4684,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.4781,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.4893,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.5015,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.5129,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.5231,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.5335,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.5464,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.5592,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.5681,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.5799,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.5907,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.6020,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.6122,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.6229,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.6337,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.6456,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.6568,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.6681,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.6795,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.6905,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.7013,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.7125,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.7237,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.7340,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.7463,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.7565,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.7693,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.7790,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.7904,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.8011,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.8130,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.8237,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.8348,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.8456,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.8555,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.8673,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.8796,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.8899,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.9001,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.9129,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.9236,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.9337,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.9454,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.9567,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.9669,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.9792,ID_1,33.000,0.000,0.000
2025-05-29_11:11:52.9899,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.0010,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.0122,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.0236,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.0343,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.0450,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.0562,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.0670,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.0784,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.0901,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.1004,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.1127,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.1228,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.1336,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.1457,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.1564,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.1671,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.1784,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.1900,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.2013,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.2125,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.2221,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.2340,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.2457,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.2564,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.2682,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.2779,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.2896,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.3014,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.3127,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.3228,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.3341,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.3460,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.3561,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.3679,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.3792,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.3900,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.4013,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.4125,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.4222,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.4335,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.4459,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.4622,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.4719,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.4842,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.4943,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.5066,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.5178,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.5289,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.5398,ID_1,33.000,0.000,0.000
2025-05-29_11:11:53.5510,ID_1,33.000,0.000,0.000
