TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度
2025-05-30_11:11:35.6054,Plane,24.0397,0.0000,-0.1036,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-30_11:11:35.6148,Plane,25.4082,0.0000,-0.1084,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-30_11:11:35.6265,Plane,25.4024,0.0000,-0.1084,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000
2025-05-30_11:11:35.6368,Plane,26.0532,0.0000,-0.0885,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.2000,0.3600
2025-05-30_11:11:35.6471,Plane,26.7902,0.0000,-0.0791,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.2000,0.3600
2025-05-30_11:11:35.6588,Plane,26.7828,0.0000,-0.0794,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.2000,0.3600
2025-05-30_11:11:35.6691,Plane,26.9693,0.0000,-0.0725,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.7903
2025-05-30_11:11:35.6805,Plane,27.1295,0.0000,-0.0640,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.7903
2025-05-30_11:11:35.6922,Plane,27.1218,0.0000,-0.0638,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.7379,0.7903
2025-05-30_11:11:35.7028,Plane,27.3943,0.0000,-0.0483,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8658,0.8926
2025-05-30_11:11:35.7146,Plane,27.5978,0.0000,-0.0325,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.8658,0.8926
2025-05-30_11:11:35.7248,Plane,27.6816,0.0000,-0.0275,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9450,0.9560
2025-05-30_11:11:35.7363,Plane,27.6760,0.0000,-0.0278,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9450,0.9560
2025-05-30_11:11:35.7476,Plane,27.8364,0.0000,-0.0085,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9450,0.9560
2025-05-30_11:11:35.7585,Plane,27.8964,0.0000,0.0035,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9719,0.9775
2025-05-30_11:11:35.7691,Plane,27.8834,0.0000,0.0026,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9719,0.9775
2025-05-30_11:11:35.7799,Plane,27.8824,0.0000,0.0028,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9820,0.9856
2025-05-30_11:11:35.7921,Plane,27.9339,0.0000,0.0208,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9856,0.9885
2025-05-30_11:11:35.8045,Plane,27.9357,0.0000,0.0193,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9856,0.9885
2025-05-30_11:11:35.8129,Plane,27.9498,0.0000,0.0187,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9856,0.9885
2025-05-30_11:11:35.8246,Plane,27.9467,0.0000,0.0277,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9941,0.9953
2025-05-30_11:11:35.8368,Plane,27.9369,0.0000,0.0385,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9941,0.9953
2025-05-30_11:11:35.8476,Plane,27.9429,0.0000,0.0374,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9941,0.9953
2025-05-30_11:11:35.8588,Plane,27.9176,0.0000,0.0479,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9976,0.9981
2025-05-30_11:11:35.8692,Plane,27.8889,0.0000,0.0565,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9976,0.9981
2025-05-30_11:11:35.8806,Plane,27.8760,0.0000,0.0603,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9990,0.9992
2025-05-30_11:11:35.8921,Plane,27.8843,0.0000,0.0592,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9990,0.9992
2025-05-30_11:11:35.9026,Plane,27.8044,0.0000,0.0736,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9990,0.9992
2025-05-30_11:11:35.9143,Plane,27.7428,0.0000,0.0811,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9995,0.9996
2025-05-30_11:11:35.9251,Plane,27.7544,0.0000,0.0811,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9995,0.9996
2025-05-30_11:11:35.9353,Plane,27.7205,0.0000,0.0854,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9995,0.9996
2025-05-30_11:11:35.9472,Plane,27.6538,0.0000,0.0897,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9998,0.9999
2025-05-30_11:11:35.9585,Plane,27.6505,0.0000,0.0894,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,0.9998,0.9999
