TimeStamp,PlayerID,PosX,PosY,PosZ
2025-05-30_11:03:57.4704,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.4836,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.4836,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.4969,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.5051,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.5262,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.5345,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.5452,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.5560,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.5662,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.5787,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.5902,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.6015,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.6115,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.6223,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.6342,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.6456,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.6557,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.6664,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.6784,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.6889,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.7006,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.7118,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.7219,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.7577,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.7587,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.7592,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.7789,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.7789,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.7885,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.7998,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.8102,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.8220,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.8322,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.8445,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.8553,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.8655,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.8778,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.8882,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.8990,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.9106,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.9224,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.9321,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.9439,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.9553,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.9661,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.9780,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.9886,ID_2,33.000,0.000,0.000
2025-05-30_11:03:57.9990,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.0108,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.0216,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.0334,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.0442,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.0544,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.0667,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.0770,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.0889,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.0992,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.1101,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.1221,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.1328,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.1430,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.1558,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.1666,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.1769,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.1888,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.1990,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.2114,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.2217,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.2333,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.2443,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.2550,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.2663,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.2778,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.2886,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.2990,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.3106,ID_2,33.000,0.000,0.000
2025-05-30_11:03:58.3219,ID_2,33.000,0.000,0.000
