TimeStamp,PlayerID,PosX,PosY,PosZ
2025-05-30_13:05:34.7633,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.7749,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.7749,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.7884,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.7997,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.8085,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.8187,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.8292,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.8405,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.8523,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.8630,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.8734,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.8854,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.8961,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.9064,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.9185,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.9289,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.9406,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.9515,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.9628,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.9737,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.9848,ID_3,33.000,0.000,0.000
2025-05-30_13:05:34.9949,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.0069,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.0461,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.0461,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.0461,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.0661,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.0661,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.0733,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.0850,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.0967,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.1062,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.1183,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.1298,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.1401,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.1510,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.1628,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.1735,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.1850,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.1960,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.2063,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.2188,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.2291,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.2408,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.2518,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.2620,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.2732,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.2845,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.2963,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.3073,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.3176,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.3289,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.3408,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.3518,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.3621,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.3735,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.3852,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.3961,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.4076,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.4188,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.4284,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.4405,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.4507,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.4628,ID_3,33.000,0.000,0.000
2025-05-30_13:05:35.4731,ID_3,33.000,0.000,0.000
